Contaminated,Methane,NOxEmissions,PM2.5Emissions,VOCEmissions,SO2Emissions,CO2Emissions
1,495,606,1192,1556,1106,2158
1,1000,1124,1568,1805,1795,1842
0,385,504,995,1483,910,2246
1,513,613,1089,1580,1211,2185
1,770,769,1270,1738,1660,2456
1,555,613,1063,1593,1274,2397
1,556,553,1046,1591,1456,2444
0,370,456,997,1506,970,2229
0,351,466,905,1476,936,2173
1,819,887,1295,1773,1633,2474
1,763,787,1240,1748,1431,2467
1,606,638,1281,1625,1446,1986
1,691,755,1295,1680,1470,2280
1,728,849,1421,1736,1549,1901
1,521,551,1182,1648,1075,2126
1,817,905,1297,1745,1672,2466
1,409,584,1065,1550,1106,2107
1,677,708,1327,1665,1469,2158
1,607,661,1154,1692,1372,2190
1,918,1023,1434,1870,1756,2426
1,874,963,1499,1716,1682,1929
1,1066,1388,1569,1897,1817,2490
0,387,469,962,1509,927,2287
1,660,735,1376,1590,1528,2077
0,457,539,1083,1601,983,2329
1,572,672,1101,1639,1460,2315
1,545,539,1025,1560,1161,2422
1,864,967,1363,1791,1689,2493
1,547,631,1226,1643,1161,2143
0,502,536,1028,1534,1126,2232
0,460,500,1098,1648,970,2369
1,579,556,1188,1608,1274,2363
1,999,839,1469,1722,1803,2296
0,401,398,810,1323,790,2354
1,815,941,1492,1786,1618,1849
1,801,911,1522,1770,1596,1835
1,1141,1047,1727,1810,1743,1986
0,312,422,830,1388,820,2321
1,508,590,1131,1533,1200,2110
1,712,729,1335,1666,1498,2108
0,358,497,1008,1509,937,2208
0,508,532,1006,1519,1149,2539
1,782,909,1448,1754,1599,1832
0,334,418,841,1401,842,2343
1,530,639,1142,1617,1385,2520
0,375,507,963,1483,1097,2309
1,563,678,1202,1658,1401,2345
0,390,519,1011,1505,1080,2378
1,839,937,1335,1803,1665,2461
1,501,650,1274,1639,1207,2148
1,484,603,1145,1596,1087,2167
0,518,560,1009,1503,1201,2578
0,407,533,1078,1549,993,2202
1,873,1015,1322,1819,1758,2498
1,772,864,1432,1834,1587,2277
1,586,606,1141,1620,1277,2491
1,1005,1115,1608,1813,1767,1837
1,554,644,1250,1644,1275,2124
1,758,778,1398,1624,1611,1961
1,732,887,1452,1738,1586,1868
1,603,649,1208,1594,1336,2376
1,611,659,1183,1597,1390,2339
0,405,454,923,1446,998,2170
1,690,754,1280,1720,1630,2276
1,662,717,1361,1561,1467,2111
1,777,904,1388,1739,1583,1872
1,537,644,1249,1655,1224,2158
1,866,959,1342,1802,1663,2422
1,733,744,1381,1638,1566,2095
1,554,610,1019,1577,1718,2363
1,499,590,1162,1595,1091,2185
1,596,610,1162,1605,1398,2328
1,725,734,1202,1714,1478,2470
1,989,940,1601,1725,1697,1944
1,846,1022,1408,1826,1775,2402
0,523,499,1067,1539,1154,2306
1,888,824,1417,1740,1688,2079
1,591,602,1232,1717,1111,2142
0,384,478,945,1497,868,2284
1,496,597,1103,1596,1121,2166
1,619,675,1175,1680,1418,2331
1,478,594,1166,1598,1092,2095
0,311,426,819,1401,856,2284
0,381,486,951,1490,898,2248
1,965,928,1610,1699,1686,1941
1,541,662,1117,1639,1451,2358
1,653,679,1163,1675,1566,2434
1,639,805,1370,1713,1508,1902
0,422,530,1073,1525,999,2195
1,517,575,1101,1575,1265,2467
1,586,614,1024,1597,1651,2441
1,896,864,1511,1667,1625,2131
1,822,813,1502,1708,1608,2028
1,526,594,1158,1611,1144,2177
1,825,903,1260,1780,1666,2450
1,550,643,1160,1609,1292,2169
1,537,626,1134,1601,1264,2189
1,696,702,1294,1711,1448,2290
1,548,641,1277,1636,1172,2159
0,351,476,978,1490,880,2255
1,669,675,1243,1664,1465,2429
0,417,517,990,1507,1129,2346
1,556,588,1230,1632,1199,2161
0,323,409,814,1383,819,2344
0,309,416,800,1372,797,2353
0,280,454,811,1390,999,2130
1,896,1032,1383,1837,1717,2502
1,540,659,1226,1639,1199,2152
0,483,501,961,1470,1117,2619
1,1062,1023,1692,1789,1735,1897
1,543,642,1228,1634,1169,2128
0,498,476,984,1495,1129,2695
1,552,631,1222,1631,1160,2158
1,862,826,1564,1768,1540,2037
1,659,694,1335,1633,1474,2094
1,552,607,1110,1634,1670,2375
1,613,677,1201,1632,1350,2192
0,358,452,916,1434,960,2125
1,483,589,1138,1571,1184,2083
1,658,697,1240,1649,1452,2422
1,894,1072,1575,1791,1748,1889
0,396,414,964,1499,910,2364
1,490,580,1096,1574,1166,2290
1,525,612,1150,1614,1132,2142
0,319,465,898,1460,960,2164
0,363,478,860,1485,1005,2218
1,1039,983,1662,1784,1676,2033
1,1151,1042,1614,1787,1893,1957
1,767,789,1385,1711,1637,2070
0,288,418,827,1384,846,2299
1,972,986,1593,1784,1809,1874
0,566,658,1151,1571,1238,2428
1,998,1026,1595,1796,1796,1923
0,375,483,912,1470,1225,2155
0,439,498,1005,1510,1070,2374
0,414,471,957,1413,989,2120
0,345,478,863,1462,1034,2227
1,808,851,1293,1766,1657,2491
1,562,652,1282,1607,1276,2076
0,363,451,873,1476,1008,2280
0,393,496,1006,1519,914,2192
1,490,578,1114,1549,1166,2325
0,374,393,870,1427,920,2507
1,608,616,1180,1615,1326,2381
0,373,478,984,1496,902,2208
0,400,501,940,1493,1026,2296
1,553,628,1037,1613,1446,2296
0,388,449,895,1444,1081,2133
0,483,499,993,1527,1161,2524
0,477,506,944,1491,1153,2565
0,467,895,977,1651,1468,2197
1,549,632,1163,1553,1265,2244
0,317,424,836,1361,840,2333
0,421,495,912,1487,1072,2317
1,769,783,1153,1697,1677,2448
0,387,493,1014,1517,928,2262
0,305,413,828,1398,834,2359
1,722,742,1394,1613,1478,2122
1,516,546,1035,1508,1226,2430
1,549,517,1061,1557,1249,2440
1,531,574,1202,1622,1144,2196
0,467,509,1008,1524,1127,2530
1,535,611,1229,1619,1224,2092
1,693,689,1389,1616,1489,2061
0,329,438,792,1390,884,2243
1,882,976,1514,1751,1664,1908
1,765,855,1456,1752,1565,1882
0,475,533,984,1533,1169,2550
0,312,435,823,1388,837,2317
0,415,509,974,1500,1066,2293
1,1058,997,1668,1788,1759,1940
1,507,597,1124,1593,1200,2247
1,707,704,1357,1669,1510,2105
0,321,432,854,1410,911,2525
1,1158,1055,1668,1841,1893,1849
1,933,935,1556,1753,1746,2017
1,513,640,1228,1637,1192,2170
1,563,626,1233,1614,1349,2300
1,459,576,1146,1534,1049,2165
1,928,946,1573,1744,1782,1949
0,377,460,916,1477,1102,2194
0,424,540,1047,1538,994,2212
1,561,651,1267,1609,1224,2156
1,611,635,1225,1640,1284,2407
0,522,631,1138,1596,1252,2421
0,448,492,929,1479,1163,2450
0,409,515,968,1456,1020,2352
1,548,581,1251,1684,1104,2117
1,544,633,1281,1647,1197,2148
0,326,413,816,1393,835,2332
0,356,441,889,1433,1011,2161
0,358,465,929,1461,937,2254
1,775,821,1262,1753,1638,2455
0,314,438,753,1379,936,2367
1,629,709,1237,1707,1600,2192
1,492,561,1101,1565,1229,2103
1,422,512,1009,1497,1037,2185
1,603,629,1196,1670,1323,2374
1,680,677,1364,1651,1482,2186
1,742,752,1343,1598,1550,2155
1,472,525,1016,1505,1116,2535
1,738,848,1436,1749,1550,1857
1,566,573,1256,1598,1261,2043
0,382,502,901,1466,992,2305
0,471,501,926,1506,1122,2434
0,422,468,974,1450,964,2109
1,598,662,1146,1616,1349,2513
1,622,645,1174,1605,1373,2426
0,332,436,806,1397,843,2315
1,496,601,1113,1577,1218,2114
1,878,990,1350,1815,1779,2449
0,522,574,1127,1569,1229,2299
1,626,659,1179,1684,1440,2319
1,797,873,1289,1744,1544,2405
1,705,729,1329,1697,1524,2183
0,358,438,907,1467,941,2225
1,1082,968,1670,1789,1712,2197
1,547,644,1158,1591,1276,2241
1,744,889,1403,1754,1571,1855
1,593,596,1151,1603,1348,2355
1,674,804,1283,1728,1616,2267
0,434,472,994,1491,1071,2344
1,651,668,1227,1601,1405,2353
1,932,1115,1609,1803,1785,1853
1,685,739,1171,1693,1524,2348
0,358,470,932,1471,919,2268
1,607,636,1127,1631,1342,2506
1,514,559,1057,1584,1196,2486
0,396,447,1001,1495,912,2240
1,878,907,1508,1748,1722,2035
0,418,493,950,1487,996,2347
0,388,498,945,1511,890,2283
0,521,540,1074,1547,1189,2212
1,622,688,1185,1689,1401,2283
1,469,608,1184,1601,1167,2168
0,384,490,903,1492,990,2264
1,527,636,1235,1636,1191,2164
0,371,436,879,1417,963,2262
1,953,966,1577,1819,1715,2000
1,581,605,1281,1561,1389,2046
0,404,483,972,1507,956,2287
1,855,924,1333,1803,1745,2502
1,786,789,1451,1662,1583,2147
0,506,492,971,1504,1111,2702
1,542,608,1165,1598,1305,2099
1,436,533,1114,1613,979,2101
0,391,491,862,1483,1010,2251
1,844,772,1427,1689,1680,2121
0,403,515,1015,1527,927,2302
1,805,773,1392,1737,1549,2199
1,917,821,1571,1779,1543,2008
0,305,425,816,1406,853,2267
1,750,717,1210,1716,1508,2440
1,568,649,1261,1644,1222,2020
1,658,711,1172,1691,1565,2443
1,924,934,1559,1780,1745,1916
1,554,656,1278,1641,1210,2085
1,861,936,1344,1811,1750,2503
1,539,630,1238,1623,1145,2169
0,388,491,915,1478,1142,2216
1,498,614,1153,1609,1104,2157
1,638,669,1158,1683,1422,2335
0,490,521,989,1516,1146,2524
0,371,485,931,1496,952,2292
1,562,639,1216,1635,1216,2129
1,595,642,1296,1646,1286,2119
1,408,518,1012,1516,1021,2133
1,528,546,1184,1681,1075,2100
1,630,616,1186,1649,1366,2510
1,777,728,1438,1698,1527,2257
1,775,881,1472,1708,1591,1836
1,564,609,1139,1615,1329,2531
1,1097,1020,1708,1790,1707,1970
1,1011,950,1600,1698,1788,1942
1,513,546,1035,1508,1226,2430
0,460,499,944,1495,1075,2519
0,373,443,880,1434,956,2463
1,695,716,1369,1597,1482,2156
1,780,661,1299,1652,1622,2350
1,494,594,1181,1607,1103,2128
1,501,562,1080,1574,1223,2529
1,547,668,1300,1646,1312,2037
1,522,555,1045,1511,1271,2442
1,782,887,1306,1760,1685,2467
0,344,490,926,1489,1175,2163
1,695,841,1283,1729,1620,2263
1,580,627,1095,1610,1297,2386
0,386,442,887,1475,1006,2286
0,384,446,979,1482,880,2280
0,370,448,895,1394,959,2484
0,501,541,958,1516,1161,2667
1,560,567,1107,1580,1217,2487
0,409,516,909,1486,1085,2301
0,391,473,978,1498,989,2251
0,439,421,986,1460,995,2121
0,381,493,946,1475,1006,2263
1,522,619,1132,1609,1271,2053
1,552,579,1173,1550,1250,2330
0,310,430,829,1379,879,2294
0,422,538,955,1535,1049,2372
0,313,434,813,1397,839,2318
0,373,469,979,1508,853,2263
1,817,881,1298,1790,1622,2493
1,650,711,1275,1717,1577,2287
0,482,518,960,1505,1134,2472
1,831,914,1455,1735,1606,1951
1,779,860,1389,1808,1603,2249
1,688,767,1319,1769,1598,2258
1,674,811,1353,1702,1491,1895
1,468,620,1132,1588,1282,2150
1,987,1010,1602,1778,1792,1935
0,440,520,932,1460,1154,2398
1,697,701,1215,1722,1411,2509
1,404,517,1021,1492,1000,2160
1,864,1008,1366,1789,1741,2450
1,517,569,1098,1586,1283,2478
0,394,436,850,1435,1198,2172
0,348,463,907,1463,933,2207
1,734,815,1427,1736,1554,1894
1,532,549,984,1557,1210,2346
1,761,748,1228,1727,1679,2473
1,573,669,1173,1677,1456,2316
1,666,718,1213,1701,1651,2447
1,748,757,1362,1672,1562,2049
1,741,768,1338,1681,1482,2227
0,367,470,932,1441,955,2309
1,702,673,1353,1653,1475,2180
1,455,587,1169,1594,1143,2198
1,556,629,1163,1618,1215,2246
1,480,590,1062,1560,1174,2202
1,876,995,1367,1814,1652,2466
0,423,525,1052,1557,989,2198
1,523,608,1135,1594,1255,2400
1,706,676,1233,1629,1465,2289
1,886,1064,1422,1851,1724,2502
1,584,654,1221,1607,1326,2201
0,517,548,967,1527,1141,2485
1,601,668,1137,1646,1434,2329
1,640,590,1105,1608,1459,2427
1,557,579,1250,1619,1242,2064
1,802,776,1393,1731,1546,2213
1,760,762,1377,1610,1552,2095
1,671,700,1325,1598,1458,2092
1,597,650,1204,1633,1344,2327
1,1129,1058,1665,1797,1889,1950
0,309,406,839,1381,785,2351
1,780,896,1438,1813,1489,2434
1,789,770,1420,1679,1580,2108
1,489,614,1157,1600,1149,2160
1,791,788,1187,1678,1742,2331
1,498,617,1131,1576,1272,2203
1,477,537,959,1541,1109,2533
1,506,573,993,1547,1644,2428
1,776,895,1430,1779,1587,1860
1,534,654,1282,1625,1308,2017
0,387,512,974,1503,1011,2343
1,552,571,1085,1591,1528,2453
1,722,684,1247,1643,1470,2260
1,798,897,1500,1765,1589,1882
1,630,696,1218,1684,1388,2266
1,696,754,1271,1727,1603,2262
0,366,439,862,1431,900,2450
1,506,513,1038,1549,1132,2542
0,369,452,862,1415,914,2519
0,338,491,893,1472,980,2301
1,592,585,1135,1581,1320,2432
0,383,507,890,1463,967,2294
0,312,435,833,1382,875,2226
1,522,573,1068,1562,1232,2344
1,773,799,1472,1694,1615,2106
1,534,581,1064,1586,1436,2479
1,691,741,1395,1667,1532,2073
1,742,795,1421,1682,1649,2021
0,374,485,863,1472,1440,2167
1,716,836,1399,1736,1508,1869
0,406,505,1055,1494,949,2280
1,702,716,1359,1643,1510,2222
1,670,679,1200,1661,1400,2362
1,530,638,1140,1600,1294,2050
1,504,569,1026,1561,1158,2523
1,660,744,1126,1707,1454,2282
1,685,650,1221,1596,1427,2324
1,499,586,1120,1577,1208,2128
1,852,920,1266,1732,1763,2408
1,742,685,1228,1693,1741,2395
1,524,619,1163,1614,1160,2144
1,956,956,1557,1813,1744,1976
0,383,478,952,1496,882,2279
1,1124,1064,1652,1806,1901,1911
1,828,769,1380,1702,1585,2185
0,418,565,943,1526,1077,2344
1,467,601,1182,1593,1138,2202
1,788,683,1358,1705,1613,2188
1,585,661,1118,1654,1443,2325
1,503,607,1169,1603,1189,2158
1,491,594,1134,1559,1204,2048
1,519,595,1122,1586,1210,2240
1,858,995,1352,1807,1796,2467
0,458,519,938,1498,1139,2380
1,516,617,1150,1609,1276,2131
0,504,520,999,1520,1111,2681
0,310,435,817,1349,863,2275
1,536,591,1081,1601,1225,2551
0,568,647,1149,1614,1239,2374
1,590,644,1282,1649,1275,2082
1,804,697,1329,1669,1593,2420
1,993,1180,1495,1894,1763,2503
1,595,677,1323,1587,1442,2076
0,390,531,1005,1496,1114,2345
1,477,572,1148,1578,1092,2209
1,502,591,1208,1546,1212,2059
0,307,404,814,1384,783,2375
0,372,474,983,1494,849,2276
1,744,793,1435,1742,1540,1861
1,633,693,1332,1633,1465,2069
1,805,902,1516,1767,1627,1831
1,478,585,1183,1587,1178,2117
1,710,776,1397,1618,1514,2048
0,396,488,880,1473,977,2300
0,474,543,967,1526,1141,2485
1,628,670,1162,1640,1352,2303
1,549,611,1112,1620,1384,2289
